Ad clicked Date,Ad Title/Id
2025/08/19 16:47:24 UTC,745684093
2026/03/17 02:20:45 UTC,643636656
2025/08/19 16:47:24 UTC,745684093
2026/03/17 02:20:56 UTC,643636656
2025/08/19 16:48:03 UTC,745684093
2026/04/03 07:09:11 UTC,1234612214
2025/08/19 16:48:01 UTC,745684093
2025/10/27 04:18:46 UTC,694982684
2025/08/19 16:52:09 UTC,745684093
2025/09/12 18:26:03 UTC,693105196
2025/08/19 16:52:09 UTC,745684093
2025/09/12 18:25:50 UTC,693105196
2025/08/19 16:26:33 UTC,745684093
2025/10/06 15:39:12 UTC,374119544
2025/08/19 16:26:29 UTC,745684093
2025/10/06 15:39:41 UTC,834084823
2025/08/19 16:26:41 UTC,745684093
2026/02/02 07:19:15 UTC,645192116
2025/08/19 16:26:41 UTC,745684093
2026/02/04 17:03:42 UTC,1161189733
2025/08/19 16:26:29 UTC,745684093
2025/08/08 05:02:49 UTC,379353733
2025/08/19 16:31:04 UTC,745684093
2025/08/08 05:02:50 UTC,379353733
2025/08/19 16:31:04 UTC,745684093
2025/10/24 05:49:25 UTC,694982684
2025/08/19 16:34:12 UTC,745684093
2025/12/29 15:31:38 UTC,643663676
2025/08/19 16:34:11 UTC,745684093
2025/12/29 15:31:40 UTC,643663676
2025/08/19 16:34:51 UTC,745684093
2025/12/29 15:31:54 UTC,643663676
2025/08/19 16:34:54 UTC,745684093
2025/12/29 15:31:57 UTC,643663676
2025/08/19 16:35:45 UTC,745684093
2025/12/29 15:32:17 UTC,643663676
2025/08/19 16:35:43 UTC,745684093
2025/11/17 08:59:47 UTC,954874406
2025/08/19 16:37:12 UTC,745684093
2025/11/17 08:59:47 UTC,954874406
2025/08/19 16:36:55 UTC,745684093
2025/11/17 08:59:54 UTC,954874406
2025/08/19 16:36:56 UTC,745684093
2025/11/17 08:59:54 UTC,954874406
2025/08/19 16:37:11 UTC,745684093
2026/01/21 05:50:28 UTC,645192116
2025/08/19 16:39:22 UTC,745684093
2026/01/21 05:50:30 UTC,645192116
2025/08/19 16:39:24 UTC,745684093
2026/01/21 05:50:41 UTC,645192116
2025/08/19 16:39:59 UTC,745684093
2025/12/22 14:14:05 UTC,241747736
2025/08/19 16:40:01 UTC,745684093
2025/12/22 14:13:54 UTC,241747736
2026/07/13 19:47:17 UTC,1461256264
2025/12/22 14:14:06 UTC,241747736
2026/07/13 19:47:18 UTC,1461256264
2025/12/22 14:14:06 UTC,241747736
2026/07/13 19:49:54 UTC,1461256264
2025/12/05 04:59:25 UTC,969521123
2026/07/13 19:49:56 UTC,1461256264
2026/06/23 17:59:12 UTC,643663676
2026/06/08 23:45:23 UTC,1160689583
2026/05/25 16:50:03 UTC,1230597474
2026/05/16 01:17:00 UTC,643636656
2026/05/16 01:17:03 UTC,643636656
2026/05/15 16:19:46 UTC,643636656
2026/05/15 16:19:47 UTC,643636656
2026/05/05 13:20:34 UTC,645192116
2026/05/05 00:51:45 UTC,881008554
2026/05/05 00:51:56 UTC,1152197674
2026/04/19 18:55:27 UTC,643663676
2025/08/19 16:47:24 UTC,745684093
2026/03/17 02:20:45 UTC,643636656
2025/08/19 16:47:24 UTC,745684093
2026/03/17 02:20:56 UTC,643636656
2025/08/19 16:48:03 UTC,745684093
2026/04/03 07:09:11 UTC,1234612214
2025/08/19 16:48:01 UTC,745684093
2025/10/27 04:18:46 UTC,694982684
2025/08/19 16:52:09 UTC,745684093
2025/09/12 18:26:03 UTC,693105196
2025/08/19 16:52:09 UTC,745684093
2025/09/12 18:25:50 UTC,693105196
2025/08/19 16:26:33 UTC,745684093
2025/10/06 15:39:12 UTC,374119544
2025/08/19 16:26:29 UTC,745684093
2025/10/06 15:39:41 UTC,834084823
2025/08/19 16:26:41 UTC,745684093
2026/02/02 07:19:15 UTC,645192116
2025/08/19 16:26:41 UTC,745684093
2026/02/04 17:03:42 UTC,1161189733
2025/08/19 16:26:29 UTC,745684093
2025/08/08 05:02:49 UTC,379353733
2025/08/19 16:31:04 UTC,745684093
2025/08/08 05:02:50 UTC,379353733
2025/08/19 16:31:04 UTC,745684093
2025/10/24 05:49:25 UTC,694982684
2025/08/19 16:34:12 UTC,745684093
2025/12/29 15:31:38 UTC,643663676
2025/08/19 16:34:11 UTC,745684093
2025/12/29 15:31:40 UTC,643663676
2025/08/19 16:34:51 UTC,745684093
2025/12/29 15:31:54 UTC,643663676
2025/08/19 16:34:54 UTC,745684093
2025/12/29 15:31:57 UTC,643663676
2025/08/19 16:35:45 UTC,745684093
2025/12/29 15:32:17 UTC,643663676
2025/08/19 16:35:43 UTC,745684093
2025/11/17 08:59:47 UTC,954874406
2025/08/19 16:37:12 UTC,745684093
2025/11/17 08:59:47 UTC,954874406
2025/08/19 16:36:55 UTC,745684093
2025/11/17 08:59:54 UTC,954874406
2025/08/19 16:36:56 UTC,745684093
2025/11/17 08:59:54 UTC,954874406
2025/08/19 16:37:11 UTC,745684093
2026/01/21 05:50:28 UTC,645192116
2025/08/19 16:39:22 UTC,745684093
2026/01/21 05:50:30 UTC,645192116
2025/08/19 16:39:24 UTC,745684093
2026/01/21 05:50:41 UTC,645192116
2025/08/19 16:39:59 UTC,745684093
2025/12/22 14:14:05 UTC,241747736
2025/08/19 16:40:01 UTC,745684093
2025/12/22 14:13:54 UTC,241747736
2026/07/13 19:47:17 UTC,1461256264
2025/12/22 14:14:06 UTC,241747736
2026/07/13 19:47:18 UTC,1461256264
2025/12/22 14:14:06 UTC,241747736
2026/07/13 19:49:54 UTC,1461256264
2025/12/05 04:59:25 UTC,969521123
2026/07/13 19:49:56 UTC,1461256264
2026/06/23 17:59:12 UTC,643663676
2026/06/08 23:45:23 UTC,1160689583
2026/05/25 16:50:03 UTC,1230597474
2026/05/16 01:17:00 UTC,643636656
2026/05/16 01:17:03 UTC,643636656
2026/05/15 16:19:46 UTC,643636656
2026/05/15 16:19:47 UTC,643636656
2026/05/05 13:20:34 UTC,645192116
2026/05/05 00:51:45 UTC,881008554
2026/05/05 00:51:56 UTC,1152197674
2026/04/19 18:55:27 UTC,643663676
2025/08/19 16:47:24 UTC,745684093
2026/03/17 02:20:45 UTC,643636656
2025/08/19 16:47:24 UTC,745684093
2026/03/17 02:20:56 UTC,643636656
2025/08/19 16:48:03 UTC,745684093
2026/04/03 07:09:11 UTC,1234612214
2025/08/19 16:48:01 UTC,745684093
2025/10/27 04:18:46 UTC,694982684
2025/08/19 16:52:09 UTC,745684093
2025/09/12 18:26:03 UTC,693105196
2025/08/19 16:52:09 UTC,745684093
2025/09/12 18:25:50 UTC,693105196
2025/08/19 16:26:33 UTC,745684093
2025/10/06 15:39:12 UTC,374119544
2025/08/19 16:26:29 UTC,745684093
2025/10/06 15:39:41 UTC,834084823
2025/08/19 16:26:41 UTC,745684093
2026/02/02 07:19:15 UTC,645192116
2025/08/19 16:26:41 UTC,745684093
2026/02/04 17:03:42 UTC,1161189733
2025/08/19 16:26:29 UTC,745684093
2025/08/08 05:02:49 UTC,379353733
2025/08/19 16:31:04 UTC,745684093
2025/08/08 05:02:50 UTC,379353733
2025/08/19 16:31:04 UTC,745684093
2025/10/24 05:49:25 UTC,694982684
2025/08/19 16:34:12 UTC,745684093
2025/12/29 15:31:38 UTC,643663676
2025/08/19 16:34:11 UTC,745684093
2025/12/29 15:31:40 UTC,643663676
2025/08/19 16:34:51 UTC,745684093
2025/12/29 15:31:54 UTC,643663676
2025/08/19 16:34:54 UTC,745684093
2025/12/29 15:31:57 UTC,643663676
2025/08/19 16:35:45 UTC,745684093
2025/12/29 15:32:17 UTC,643663676
2025/08/19 16:35:43 UTC,745684093
2025/11/17 08:59:47 UTC,954874406
2025/08/19 16:37:12 UTC,745684093
2025/11/17 08:59:47 UTC,954874406
2025/08/19 16:36:55 UTC,745684093
2025/11/17 08:59:54 UTC,954874406
2025/08/19 16:36:56 UTC,745684093
2025/11/17 08:59:54 UTC,954874406
2025/08/19 16:37:11 UTC,745684093
2026/01/21 05:50:28 UTC,645192116
2025/08/19 16:39:22 UTC,745684093
2026/01/21 05:50:30 UTC,645192116
2025/08/19 16:39:24 UTC,745684093
2026/01/21 05:50:41 UTC,645192116
2025/08/19 16:39:59 UTC,745684093
2025/12/22 14:14:05 UTC,241747736
2025/08/19 16:40:01 UTC,745684093
2025/12/22 14:13:54 UTC,241747736
2026/07/13 19:47:17 UTC,1461256264
2025/12/22 14:14:06 UTC,241747736
2026/07/13 19:47:18 UTC,1461256264
2025/12/22 14:14:06 UTC,241747736
2026/07/13 19:49:54 UTC,1461256264
2025/12/05 04:59:25 UTC,969521123
2026/07/13 19:49:56 UTC,1461256264
2026/06/23 17:59:12 UTC,643663676
2026/06/08 23:45:23 UTC,1160689583
2026/05/25 16:50:03 UTC,1230597474
2026/05/16 01:17:00 UTC,643636656
2026/05/16 01:17:03 UTC,643636656
2026/05/15 16:19:46 UTC,643636656
2026/05/15 16:19:47 UTC,643636656
2026/05/05 13:20:34 UTC,645192116
2026/05/05 00:51:45 UTC,881008554
2026/05/05 00:51:56 UTC,1152197674
2026/04/19 18:55:27 UTC,643663676
2025/08/19 16:47:24 UTC,745684093
2026/03/17 02:20:45 UTC,643636656
2025/08/19 16:47:24 UTC,745684093
2026/03/17 02:20:56 UTC,643636656
2025/08/19 16:48:03 UTC,745684093
2026/04/03 07:09:11 UTC,1234612214
2025/08/19 16:48:01 UTC,745684093
2025/10/27 04:18:46 UTC,694982684
2025/08/19 16:52:09 UTC,745684093
2025/09/12 18:26:03 UTC,693105196
2025/08/19 16:52:09 UTC,745684093
2025/09/12 18:25:50 UTC,693105196
2025/08/19 16:26:33 UTC,745684093
2025/10/06 15:39:12 UTC,374119544
2025/08/19 16:26:29 UTC,745684093
2025/10/06 15:39:41 UTC,834084823
2025/08/19 16:26:41 UTC,745684093
2026/02/02 07:19:15 UTC,645192116
2025/08/19 16:26:41 UTC,745684093
2026/02/04 17:03:42 UTC,1161189733
2025/08/19 16:26:29 UTC,745684093
2025/08/08 05:02:49 UTC,379353733
2025/08/19 16:31:04 UTC,745684093
2025/08/08 05:02:50 UTC,379353733
2025/08/19 16:31:04 UTC,745684093
2025/10/24 05:49:25 UTC,694982684
2025/08/19 16:34:12 UTC,745684093
2025/12/29 15:31:38 UTC,643663676
2025/08/19 16:34:11 UTC,745684093
2025/12/29 15:31:40 UTC,643663676
2025/08/19 16:34:51 UTC,745684093
2025/12/29 15:31:54 UTC,643663676
2025/08/19 16:34:54 UTC,745684093
2025/12/29 15:31:57 UTC,643663676
2025/08/19 16:35:45 UTC,745684093
2025/12/29 15:32:17 UTC,643663676
2025/08/19 16:35:43 UTC,745684093
2025/11/17 08:59:47 UTC,954874406
2025/08/19 16:37:12 UTC,745684093
2025/11/17 08:59:47 UTC,954874406
2025/08/19 16:36:55 UTC,745684093
2025/11/17 08:59:54 UTC,954874406
2025/08/19 16:36:56 UTC,745684093
2025/11/17 08:59:54 UTC,954874406
2025/08/19 16:37:11 UTC,745684093
2026/01/21 05:50:28 UTC,645192116
2025/08/19 16:39:22 UTC,745684093
2026/01/21 05:50:30 UTC,645192116
2025/08/19 16:39:24 UTC,745684093
2026/01/21 05:50:41 UTC,645192116
2025/08/19 16:39:59 UTC,745684093
2025/12/22 14:14:05 UTC,241747736
2025/08/19 16:40:01 UTC,745684093
2025/12/22 14:13:54 UTC,241747736
2026/07/13 19:47:17 UTC,1461256264
2025/12/22 14:14:06 UTC,241747736
2026/07/13 19:47:18 UTC,1461256264
2025/12/22 14:14:06 UTC,241747736
2026/07/13 19:49:54 UTC,1461256264
2025/12/05 04:59:25 UTC,969521123
2026/07/13 19:49:56 UTC,1461256264
2026/06/23 17:59:12 UTC,643663676
2026/06/08 23:45:23 UTC,1160689583
2026/05/25 16:50:03 UTC,1230597474
2026/05/16 01:17:00 UTC,643636656
2026/05/16 01:17:03 UTC,643636656
2026/05/15 16:19:46 UTC,643636656
2026/05/15 16:19:47 UTC,643636656
2026/05/05 13:20:34 UTC,645192116
2026/05/05 00:51:45 UTC,881008554
2026/05/05 00:51:56 UTC,1152197674
2026/04/19 18:55:27 UTC,643663676
2025/08/19 16:47:24 UTC,745684093
2026/03/17 02:20:45 UTC,643636656
2025/08/19 16:47:24 UTC,745684093
2026/03/17 02:20:56 UTC,643636656
2025/08/19 16:48:03 UTC,745684093
2026/04/03 07:09:11 UTC,1234612214
2025/08/19 16:48:01 UTC,745684093
2025/10/27 04:18:46 UTC,694982684
2025/08/19 16:52:09 UTC,745684093
2025/09/12 18:26:03 UTC,693105196
2025/08/19 16:52:09 UTC,745684093
2025/09/12 18:25:50 UTC,693105196
2025/08/19 16:26:33 UTC,745684093
2025/10/06 15:39:12 UTC,374119544
2025/08/19 16:26:29 UTC,745684093
2025/10/06 15:39:41 UTC,834084823
2025/08/19 16:26:41 UTC,745684093
2026/02/02 07:19:15 UTC,645192116
2025/08/19 16:26:41 UTC,745684093
2026/02/04 17:03:42 UTC,1161189733
2025/08/19 16:26:29 UTC,745684093
2025/08/08 05:02:49 UTC,379353733
2025/08/19 16:31:04 UTC,745684093
2025/08/08 05:02:50 UTC,379353733
2025/08/19 16:31:04 UTC,745684093
2025/10/24 05:49:25 UTC,694982684
2025/08/19 16:34:12 UTC,745684093
2025/12/29 15:31:38 UTC,643663676
2025/08/19 16:34:11 UTC,745684093
2025/12/29 15:31:40 UTC,643663676
2025/08/19 16:34:51 UTC,745684093
2025/12/29 15:31:54 UTC,643663676
2025/08/19 16:34:54 UTC,745684093
2025/12/29 15:31:57 UTC,643663676
2025/08/19 16:35:45 UTC,745684093
2025/12/29 15:32:17 UTC,643663676
2025/08/19 16:35:43 UTC,745684093
2025/11/17 08:59:47 UTC,954874406
2025/08/19 16:37:12 UTC,745684093
2025/11/17 08:59:47 UTC,954874406
2025/08/19 16:36:55 UTC,745684093
2025/11/17 08:59:54 UTC,954874406
2025/08/19 16:36:56 UTC,745684093
2025/11/17 08:59:54 UTC,954874406
2025/08/19 16:37:11 UTC,745684093
2026/01/21 05:50:28 UTC,645192116
2025/08/19 16:39:22 UTC,745684093
2026/01/21 05:50:30 UTC,645192116
2025/08/19 16:39:24 UTC,745684093
2026/01/21 05:50:41 UTC,645192116
2025/08/19 16:39:59 UTC,745684093
2025/12/22 14:14:05 UTC,241747736
2025/08/19 16:40:01 UTC,745684093
2025/12/22 14:13:54 UTC,241747736
2026/07/13 19:47:17 UTC,1461256264
2025/12/22 14:14:06 UTC,241747736
2026/07/13 19:47:18 UTC,1461256264
2025/12/22 14:14:06 UTC,241747736
2026/07/13 19:49:54 UTC,1461256264
2025/12/05 04:59:25 UTC,969521123
2026/07/13 19:49:56 UTC,1461256264
2026/06/23 17:59:12 UTC,643663676
2026/06/08 23:45:23 UTC,1160689583
2026/05/25 16:50:03 UTC,1230597474
2026/05/16 01:17:00 UTC,643636656
2026/05/16 01:17:03 UTC,643636656
2026/05/15 16:19:46 UTC,643636656
2026/05/15 16:19:47 UTC,643636656
2026/05/05 13:20:34 UTC,645192116
2026/05/05 00:51:45 UTC,881008554
2026/05/05 00:51:56 UTC,1152197674
2026/04/19 18:55:27 UTC,643663676
2025/08/19 16:47:24 UTC,745684093
2026/03/17 02:20:45 UTC,643636656
2025/08/19 16:47:24 UTC,745684093
2026/03/17 02:20:56 UTC,643636656
2025/08/19 16:48:03 UTC,745684093
2026/04/03 07:09:11 UTC,1234612214
2025/08/19 16:48:01 UTC,745684093
2025/10/27 04:18:46 UTC,694982684
2025/08/19 16:52:09 UTC,745684093
2025/09/12 18:26:03 UTC,693105196
2025/08/19 16:52:09 UTC,745684093
2025/09/12 18:25:50 UTC,693105196
2025/08/19 16:26:33 UTC,745684093
2025/10/06 15:39:12 UTC,374119544
2025/08/19 16:26:29 UTC,745684093
2025/10/06 15:39:41 UTC,834084823
2025/08/19 16:26:41 UTC,745684093
2026/02/02 07:19:15 UTC,645192116
2025/08/19 16:26:41 UTC,745684093
2026/02/04 17:03:42 UTC,1161189733
2025/08/19 16:26:29 UTC,745684093
2025/08/08 05:02:49 UTC,379353733
2025/08/19 16:31:04 UTC,745684093
2025/08/08 05:02:50 UTC,379353733
2025/08/19 16:31:04 UTC,745684093
2025/10/24 05:49:25 UTC,694982684
2025/08/19 16:34:12 UTC,745684093
2025/12/29 15:31:38 UTC,643663676
2025/08/19 16:34:11 UTC,745684093
2025/12/29 15:31:40 UTC,643663676
2025/08/19 16:34:51 UTC,745684093
2025/12/29 15:31:54 UTC,643663676
2025/08/19 16:34:54 UTC,745684093
2025/12/29 15:31:57 UTC,643663676
2025/08/19 16:35:45 UTC,745684093
2025/12/29 15:32:17 UTC,643663676
2025/08/19 16:35:43 UTC,745684093
2025/11/17 08:59:47 UTC,954874406
2025/08/19 16:37:12 UTC,745684093
2025/11/17 08:59:47 UTC,954874406
2025/08/19 16:36:55 UTC,745684093
2025/11/17 08:59:54 UTC,954874406
2025/08/19 16:36:56 UTC,745684093
2025/11/17 08:59:54 UTC,954874406
2025/08/19 16:37:11 UTC,745684093
2026/01/21 05:50:28 UTC,645192116
2025/08/19 16:39:22 UTC,745684093
2026/01/21 05:50:30 UTC,645192116
2025/08/19 16:39:24 UTC,745684093
2026/01/21 05:50:41 UTC,645192116
2025/08/19 16:39:59 UTC,745684093
2025/12/22 14:14:05 UTC,241747736
2025/08/19 16:40:01 UTC,745684093
2025/12/22 14:13:54 UTC,241747736
2026/07/13 19:47:17 UTC,1461256264
2025/12/22 14:14:06 UTC,241747736
2026/07/13 19:47:18 UTC,1461256264
2025/12/22 14:14:06 UTC,241747736
2026/07/13 19:49:54 UTC,1461256264
2025/12/05 04:59:25 UTC,969521123
2026/07/13 19:49:56 UTC,1461256264
2026/06/23 17:59:12 UTC,643663676
2026/06/08 23:45:23 UTC,1160689583
2026/05/25 16:50:03 UTC,1230597474
2026/05/16 01:17:00 UTC,643636656
2026/05/16 01:17:03 UTC,643636656
2026/05/15 16:19:46 UTC,643636656
2026/05/15 16:19:47 UTC,643636656
2026/05/05 13:20:34 UTC,645192116
2026/05/05 00:51:45 UTC,881008554
2026/05/05 00:51:56 UTC,1152197674
2026/04/19 18:55:27 UTC,643663676
2025/08/19 16:47:24 UTC,745684093
2026/03/17 02:20:45 UTC,643636656
2025/08/19 16:47:24 UTC,745684093
2026/03/17 02:20:56 UTC,643636656
2025/08/19 16:48:03 UTC,745684093
2026/04/03 07:09:11 UTC,1234612214
2025/08/19 16:48:01 UTC,745684093
2025/10/27 04:18:46 UTC,694982684
2025/08/19 16:52:09 UTC,745684093
2025/09/12 18:26:03 UTC,693105196
2025/08/19 16:52:09 UTC,745684093
2025/09/12 18:25:50 UTC,693105196
2025/08/19 16:26:33 UTC,745684093
2025/10/06 15:39:12 UTC,374119544
2025/08/19 16:26:29 UTC,745684093
2025/10/06 15:39:41 UTC,834084823
2025/08/19 16:26:41 UTC,745684093
2026/02/02 07:19:15 UTC,645192116
2025/08/19 16:26:41 UTC,745684093
2026/02/04 17:03:42 UTC,1161189733
2025/08/19 16:26:29 UTC,745684093
2025/08/08 05:02:49 UTC,379353733
2025/08/19 16:31:04 UTC,745684093
